Id,Label,Attribute
1,Shaco,2
2,Zyra,2
3,Lulu,2
4,Morgana,2
5,Karma,2
6,Poppy,2
7,Brand,2
8,Lux,2
9,Pyke,2
10,Neeko,2
11,Blitzcrank,2
12,Thresh,2
13,Soraka,2
14,Nami,2
15,Taric,2
16,Leona,2
17,Nautilus,2
18,Braum,2
19,Alistar,2
20,Xerath,2
21,Janna,2
22,Veigar,2
23,Zilean,2
24,Galio,2
25,Maokai,2
26,Shen,2
27,Fiddlesticks,2
28,Sona,2
29,Rakan,2
30,Bard,2
