Source,Target,Type,Weight
8,3,Undirected,0.06658720735739572
5,21,Undirected,0.06643258425182069
16,44,Undirected,0.06636651489498333
18,41,Undirected,0.06605687724213465
8,31,Undirected,0.06599112955203286
36,21,Undirected,0.06580977876761485
44,22,Undirected,0.06551938793834945
7,20,Undirected,0.06445416004125115
3,4,Undirected,0.06437240388184139
28,13,Undirected,0.06423417883978247
8,24,Undirected,0.06392351814096284
16,5,Undirected,0.06390228112152344
41,38,Undirected,0.06366110545527269
10,22,Undirected,0.06360512161934909
16,9,Undirected,0.0633025929204335
3,9,Undirected,0.06316486895169585
33,31,Undirected,0.06312442878626337
27,40,Undirected,0.06290365107529497
19,38,Undirected,0.06259016462413056
23,25,Undirected,0.06254255043930691
32,24,Undirected,0.06216658247614698
10,7,Undirected,0.06205584454095463
28,4,Undirected,0.061911420081707816
32,5,Undirected,0.06178541517423171
20,9,Undirected,0.06170992071795524
29,14,Undirected,0.0616343088351065
10,4,Undirected,0.061520481477116966
16,12,Undirected,0.06142989536034199
8,21,Undirected,0.06142770046986958
32,9,Undirected,0.06141466594343962
14,22,Undirected,0.06122259420203533
15,21,Undirected,0.061090583848173695
40,22,Undirected,0.060754412638831704
30,4,Undirected,0.0605168666242982
26,15,Undirected,0.06044132385521708
28,32,Undirected,0.060071235535235044
32,12,Undirected,0.060023355801035114
26,8,Undirected,0.0598498983396166
5,14,Undirected,0.05979400951231306
5,3,Undirected,0.059777093338040224
33,10,Undirected,0.05973194743026411
27,5,Undirected,0.05965272317753377
33,32,Undirected,0.05947770724833963
18,31,Undirected,0.05937337515404644
43,31,Undirected,0.059274162292916446
26,31,Undirected,0.05893860122560643
10,1,Undirected,0.05846225371959972
11,8,Undirected,0.058426581549670176
19,31,Undirected,0.05832815991235733
41,6,Undirected,0.05816092524426008
3,6,Undirected,0.058003080813140845
1,31,Undirected,0.057931091409566995
19,15,Undirected,0.057802488671769944
8,22,Undirected,0.05776741443914338
33,26,Undirected,0.057734424507522905
32,20,Undirected,0.05746269431670381
28,1,Undirected,0.057178669838238466
20,2,Undirected,0.05713705855877786
26,10,Undirected,0.057128363069388684
20,13,Undirected,0.05712727083046276
41,17,Undirected,0.05699216483610564
14,21,Undirected,0.05687229232072674
1,21,Undirected,0.056810834030349304
16,10,Undirected,0.05648641758300357
11,24,Undirected,0.056402324540408416
24,6,Undirected,0.05633931376731766
41,4,Undirected,0.05619435471933935
44,21,Undirected,0.05613198598345111
33,3,Undirected,0.05611853392331319
41,22,Undirected,0.055916485499041185
15,24,Undirected,0.05576492428871439
32,14,Undirected,0.0556355338462198
14,35,Undirected,0.05559330445473889
37,22,Undirected,0.055407792634252814
25,6,Undirected,0.05479290470039944
43,22,Undirected,0.05457033267642387
28,2,Undirected,0.054538257835657404
43,7,Undirected,0.054524588295885565
28,9,Undirected,0.05444820214462154
19,29,Undirected,0.054341658577166566
28,6,Undirected,0.054241441237253385
39,17,Undirected,0.05418738927970404
34,31,Undirected,0.054179050626088576
16,43,Undirected,0.05405233613792062
33,6,Undirected,0.05400424403700436
37,3,Undirected,0.053832233696703854
5,29,Undirected,0.05379583497892847
15,38,Undirected,0.053783117560598406
44,14,Undirected,0.053772335128601065
18,2,Undirected,0.05373961585447319
10,20,Undirected,0.05370483702058114
5,22,Undirected,0.053255008870796025
43,9,Undirected,0.05318396537879945
8,30,Undirected,0.05316355060047655
14,2,Undirected,0.05310550847562789
19,22,Undirected,0.05247690962547919
1,15,Undirected,0.05241756878977853
23,32,Undirected,0.05232983821696076
10,31,Undirected,0.05230745949396602
26,37,Undirected,0.052303594690317944
33,21,Undirected,0.05209696266792669
11,30,Undirected,0.052089589921254224
10,6,Undirected,0.051937824601257725
13,12,Undirected,0.051913897023157185
18,29,Undirected,0.05171375908276838
7,30,Undirected,0.05165556375473042
23,28,Undirected,0.05159922083741942
23,30,Undirected,0.05159016683334447
36,2,Undirected,0.05147230249265029
5,44,Undirected,0.05146699909798556
10,36,Undirected,0.05139135185201189
5,13,Undirected,0.05123258621331114
44,2,Undirected,0.05111534563829001
10,41,Undirected,0.051094912737314716
11,2,Undirected,0.050738580605180994
27,31,Undirected,0.05049672015203689
33,43,Undirected,0.05041798288893565
44,3,Undirected,0.0503390641498877
15,8,Undirected,0.05015902944144711
40,2,Undirected,0.050129116011683406
1,40,Undirected,0.05012872675207163
16,21,Undirected,0.05001667927050698
14,9,Undirected,0.05000248223144088
