Source,Target,Type,Weight
28,31,Undirected,0.05694675549666187
28,33,Undirected,0.05691015505277463
32,6,Undirected,0.05682443504112182
16,12,Undirected,0.05675753638321028
3,28,Undirected,0.05661265620822334
8,11,Undirected,0.05658408839939492
23,35,Undirected,0.0565334725767295
33,29,Undirected,0.05650838730647012
11,25,Undirected,0.05649069960568505
4,14,Undirected,0.05625598866363358
3,2,Undirected,0.056116854227850496
29,20,Undirected,0.05599829436606761
33,44,Undirected,0.05582066808450433
24,14,Undirected,0.05577208123608478
25,10,Undirected,0.05555886042073649
36,6,Undirected,0.05548291110753339
16,44,Undirected,0.05537595409058772
37,40,Undirected,0.05497551459095913
9,20,Undirected,0.05491938628111165
17,38,Undirected,0.05486198024380397
4,43,Undirected,0.054834171387343505
29,37,Undirected,0.05468470871677203
30,44,Undirected,0.054599853497911535
15,13,Undirected,0.05419489969069055
23,2,Undirected,0.05403360293195529
32,44,Undirected,0.05364704794539821
32,10,Undirected,0.05355417205141741
24,18,Undirected,0.053524466979826935
34,2,Undirected,0.0534218953348631
8,13,Undirected,0.05340772071749547
30,10,Undirected,0.05325858289461535
30,37,Undirected,0.05292499488045333
1,13,Undirected,0.05279785581269793
28,13,Undirected,0.0525933281512462
13,6,Undirected,0.052580787160502934
17,12,Undirected,0.05257125763562899
3,8,Undirected,0.05252435677945726
33,6,Undirected,0.05250782536239773
15,14,Undirected,0.05243113063663929
30,1,Undirected,0.05239092395856338
1,44,Undirected,0.05223033815775123
22,29,Undirected,0.0519624681587752
42,43,Undirected,0.051827456603013515
33,8,Undirected,0.051577904954034706
36,10,Undirected,0.05140720980124106
3,5,Undirected,0.05134547034004573
23,6,Undirected,0.051306756416583436
30,14,Undirected,0.0511302242448244
32,29,Undirected,0.05091851438466471
1,23,Undirected,0.050856033921852395
23,37,Undirected,0.05078349504188097
4,29,Undirected,0.05061145055263466
9,43,Undirected,0.050508298849466886
23,14,Undirected,0.050062193295327455
9,44,Undirected,0.050020657454603
