Source,Target,Weight
Kassadin,Yasuo,0.12115274714673552
Braum,Nami,0.1206490569905462
Graves,Nidalee,0.12053744783637171
Sion,Urgot,0.12002207771494824
Caitlyn,Varus,0.12000052322675597
Akali,Zoe,0.11982510106724478
Ezreal,Viktor,0.11960547582588335
Karma,Thresh,0.11931367943892618
Talon,Yasuo,0.1190773628976427
Yasuo,Zoe,0.11887729570152727
Sivir,Tristana,0.11884372194622705
Leona,Lux,0.11801954712566073
Fiora,Riven,0.11698998225086948
Elise,Kindred,0.11680693412089552
Jayce,Ryze,0.11668469933793953
Akali,Vladimir,0.11668254298979189
Akali,Ryze,0.11646380531267278
Kassadin,Talon,0.11637720989422284
Lissandra,Zoe,0.11636391263318252
Vayne,Xayah,0.11624244344147702
Malphite,Nasus,0.116230077727414
Ashe,Tristana,0.11593436771357946
Ahri,Zed,0.11557769918761485
Jayce,Riven,0.11555607460515657
Aatrox,Irelia,0.11551757216688555
Caitlyn,Thresh,0.11508858403749153
Aatrox,Yasuo,0.11481746599121953
Ezreal,Lissandra,0.1147155934137896
Lulu,Thresh,0.11462651846358807
Ahri,Ezreal,0.11423137705919473
Hecarim,Jax,0.11401364127784405
Galio,Lissandra,0.1138811056282274
Thresh,Xerath,0.11370174681060324
Alistar,Lulu,0.11352707144792924
Sivir,Xayah,0.11305561006601986
Ezreal,Ryze,0.11276498084814676
Malphite,Pantheon,0.11258783793130726
Morgana,Rakan,0.11232181031799271
Fiora,Vladimir,0.11227613299232798
Thresh,Yasuo,0.11210073882396106
Aatrox,Sylas,0.11163533656410746
Aatrox,Akali,0.11117642739946751
Darius,Nasus,0.11115252020838202
Lissandra,Vladimir,0.11022558552340925
Jhin,Sivir,0.11015832317362417
Katarina,Yasuo,0.11013557087738718
Alistar,Janna,0.11009196605252106
Alistar,Nami,0.11004702153759904
Sivir,Varus,0.10978249611952468
Jhin,Jinx,0.10955844691102573
Riven,Vladimir,0.10953663347830311
Galio,Nautilus,0.10947772107863585
Jax,Nasus,0.10915781660380514
Graves,Kindred,0.10894549659213645
Blitzcrank,Malphite,0.10885409231901937
Irelia,Ryze,0.10871224580770215
Elise,Graves,0.10869374974925557
Jayce,Yasuo,0.10868868953138278
Malphite,Teemo,0.10868282738366133
Lulu,Zyra,0.10866685847510942
Lulu,Lux,0.10862961402738489
Akali,Ezreal,0.10857570638039035
Darius,Vladimir,0.10841963995295233
Viktor,Vladimir,0.10818509151732875
Morgana,Xerath,0.10801698755747761
Akali,Riven,0.10789694406012151
Akali,Zed,0.10782454205613545
Ezreal,Orianna,0.10781551679816685
Kassadin,Lissandra,0.10775584864234689
Ezreal,Xerath,0.10734793949030619
Brand,Lux,0.10731134823328227
Neeko,Sylas,0.10698018577167856
Braum,Pyke,0.10684959392344565
Darius,Zed,0.10674503767521218
Fiora,Jax,0.10632141637854411
Fizz,Kassadin,0.10621306400234615
Nami,Nautilus,0.10609462568790613
Ashe,Xayah,0.10601365334888106
Renekton,Vladimir,0.10586560000625278
Sylas,Vayne,0.10561828102948942
Ezreal,Jax,0.10558379003806231
Fizz,Yasuo,0.10551456654280061
Jayce,Viktor,0.10500347621284627
Lucian,Vladimir,0.1048579759864621
Janna,Thresh,0.10485145391293631
Garen,Malphite,0.10473834618591732
Caitlyn,Kalista,0.10418200522942887
Braum,Lulu,0.10409509574640655
Morgana,Sona,0.10400415560709568
Janna,Zyra,0.10367751335826589
Ashe,Jhin,0.10362925463104888
Zed,Zoe,0.10314362644781283
Riven,Sylas,0.10302498947050713
Varus,Vayne,0.10276618730781314
Lulu,Sona,0.1026176410800511
Thresh,Zed,0.10242847727071996
Nautilus,Soraka,0.10221715651272854
Jax,Yasuo,0.10220853157567067
Lux,Xerath,0.10217552876307498
Kayle,Vladimir,0.10212736066142321
Fizz,Talon,0.10097783366229746
Jinx,Tristana,0.10091279617409021
Katarina,Zed,0.10060323649733649
Irelia,Lucian,0.09999586117129575
Ezreal,Graves,0.09990116595188686
Leona,Zyra,0.09987618807778337
Ornn,Urgot,0.09980892597188348
Fiora,Yasuo,0.0997386812334319
Ahri,Lux,0.09948898108834642
Akali,Vayne,0.09948567890420047
Lulu,Rakan,0.0994122645555516
Caitlyn,Xayah,0.09908087760683768
Irelia,Kayle,0.09885448365043986
Aatrox,Urgot,0.09884277906671839
Irelia,Jax,0.09860835217219677
Kayn,Sylas,0.09839474599598866
Ezreal,Karma,0.0982351723248024
Urgot,Vladimir,0.09804959192251732
Soraka,Zilean,0.09771053156822361
Galio,Pyke,0.0974140364324153
Akali,Kayle,0.09732068164732818
Blitzcrank,Xerath,0.09720391850288874
Jax,Vayne,0.09719991345259388
Ryze,Sylas,0.09695614769783883
Orianna,Viktor,0.09695501911995805
Twitch,Vayne,0.09692095017626018
Kayle,Vayne,0.09690746256106914
Jax,Pantheon,0.09665163219480645
Caitlyn,Morgana,0.09663188854282226
Lissandra,Viktor,0.09659857176582373
Karma,Leona,0.09612270978194312
Lissandra,Malzahar,0.09596641996639516
Ryze,Yasuo,0.09589692645161527
Blitzcrank,Soraka,0.0958008268012907
Ezreal,Galio,0.09569725374379368
Karma,Nautilus,0.09567159131470211
Lissandra,Ryze,0.09555733629233024
Lucian,Zed,0.09532296026661452
Gangplank,Jayce,0.09524501463883342
Galio,Leona,0.09495327784950658
Ezreal,Kayle,0.09491890074686962
Alistar,Karma,0.0948501935723125
Ahri,Morgana,0.09472339089268303
Aatrox,Vladimir,0.09452939525467718
Elise,Ezreal,0.09452302274061046
Illaoi,Urgot,0.09436013996751294
Ezreal,Kassadin,0.09420303432706247
Blitzcrank,Brand,0.09405541444932299
Garen,Renekton,0.09398847013387615
Graves,Karthus,0.09393906839237465
Janna,Leona,0.09371530347013843
Sylas,Urgot,0.09369651324990338
Renekton,Urgot,0.09364355207502899
Elise,Evelynn,0.09351168081749836
Pyke,Sylas,0.09337134411532319
Camille,Elise,0.09334960659054155
Gragas,Graves,0.09324114850351588
Irelia,Katarina,0.09312520737628815
Braum,Janna,0.09298248710897772
Brand,Thresh,0.092952540459027
Jax,Malphite,0.09287073095789838
Orianna,Zed,0.09283632858181079
Alistar,Ezreal,0.09275615095456925
Fiora,Jayce,0.0923908089678322
Pyke,Xerath,0.09236232069129924
Nidalee,Yasuo,0.09226019012642736
Corki,Ezreal,0.09216367077897301
Lux,Zyra,0.09206910770749159
Illaoi,Yorick,0.09198533239919528
Kalista,Sivir,0.09195034983480922
Leona,Sona,0.09176511566621637
Ryze,Viktor,0.09142005521533625
Lux,Malphite,0.09136466411983782
Jayce,Sylas,0.09120819122719231
Fiddlesticks,Leona,0.09105610986585036
Lucian,Sylas,0.09096196662087883
Janna,Karma,0.09062347397761052
Hecarim,Sylas,0.09061939358377351
Lucian,Riven,0.09031286768228969
Morgana,Zilean,0.09028586934495704
Pyke,Rakan,0.0902011324014553
Jax,Kayle,0.09019274076220207
Caitlyn,Lux,0.09009149852156578
Amumu,Nocturne,0.08987348618718316
Janna,Lux,0.08965906490046775
Hecarim,Kayle,0.08964611259399044
Nami,Rakan,0.0896420793980062
Jayce,Lucian,0.08939707713103082
Morgana,Veigar,0.0893782058443968
Sion,Yorick,0.08936838668099051
Darius,Sylas,0.08929219891283002
Ryze,Zoe,0.08920061645946345
Malphite,Morgana,0.08916964332627188
Vladimir,Zoe,0.08910356956878909
Ezreal,Nidalee,0.08873129851802973
Orianna,Syndra,0.0887105435807154
Camille,Irelia,0.08869154006408742
Corki,Ryze,0.08847911145691867
Lissandra,Zed,0.08842006921869372
Nautilus,Pyke,0.08840022183487703
Ezreal,Soraka,0.08823826271968183
Darius,Riven,0.0882230601144969
Darius,Urgot,0.0881627431356041
Blitzcrank,Fiddlesticks,0.08798736930420056
Leona,Pyke,0.08764303302753984
Sona,Zyra,0.08743262308045155
Sylas,Thresh,0.08740671177966439
Kayn,Kindred,0.08737428254633384
Nasus,Yorick,0.08733591187513594
Galio,Soraka,0.08728708541270733
Corki,Lissandra,0.08726977943645516
Nidalee,Riven,0.08698665463578743
Lucian,Viktor,0.08687186135530159
Rammus,Sejuani,0.08686004009123666
Lissandra,Yasuo,0.08664980806127145
Leona,Malphite,0.08656539375868105
Amumu,Rammus,0.08652918385331367
Hecarim,Kayn,0.08646571418152865
Kindred,Nidalee,0.0861874964427137
Fiora,Kayle,0.08607235275677613
Fiddlesticks,Zyra,0.0860499144193476
Braum,Karma,0.08567567088927346
Lux,Sona,0.08564499456136027
Elise,Gragas,0.08557418719896562
Brand,Leona,0.08554619056900276
Karma,Lux,0.0854604994030698
Fiora,Vayne,0.08542411262010932
Pyke,Yasuo,0.08541640121211999
Soraka,Teemo,0.08528096152987409
Kassadin,Viktor,0.08526145766190274
Kayn,Yasuo,0.08523518730062574
Orianna,Zoe,0.0852310771600025
Elise,Sejuani,0.0850450469930637
Jayce,Zed,0.08498985017333219
Sivir,Thresh,0.08487109928610774
Ahri,Fizz,0.08486281285425967
Brand,Zyra,0.08479559483999738
Jayce,Renekton,0.08478188277590035
Jax,Riven,0.08468037685257301
Ezreal,Urgot,0.08467290953904189
Morgana,Sivir,0.08444462090013481
Malphite,Xerath,0.08435375741886472
Darius,Irelia,0.08434363062017217
Garen,Jax,0.08433404860823779
Ezreal,Karthus,0.08419068232616081
Ezreal,Twitch,0.08414536465817879
Aatrox,Zed,0.0840044527274958
Alistar,Fiddlesticks,0.08398055570810758
Irelia,Kassadin,0.08375212625831005
Bard,Thresh,0.08371819124034457
Nautilus,Zyra,0.08371104480374066
Pantheon,Rammus,0.08370734995654043
Alistar,Zyra,0.08349572503945119
Irelia,Thresh,0.08344177999480061
Thresh,Zyra,0.08314598126326908
Lissandra,Lucian,0.08304245455192527
Taliyah,Zoe,0.08296269097573981
Hecarim,Rammus,0.08288567457406704
Pyke,Soraka,0.08276060158057882
Ezreal,Gragas,0.08275138993929236
Elise,Thresh,0.08274407603775485
Ahri,Zoe,0.08270815442918823
Darius,Yorick,0.08266126804765363
Nocturne,Rammus,0.08245665647580273
Jayce,Vayne,0.08221126759308639
Gragas,Thresh,0.08214585088652836
Cassiopeia,Orianna,0.08210513370012301
Draven,Vayne,0.08210248785853394
Jinx,Kalista,0.0821012688528375
Kayle,Riven,0.08208000513147021
Karthus,Nidalee,0.082042853238589
Vayne,Zoe,0.0820291547852643
Jinx,Twitch,0.08169699072236322
Brand,Soraka,0.08160968329742575
Akali,Talon,0.08157101538874714
Malzahar,Morgana,0.08154621637749102
Gangplank,Ryze,0.08143260490643116
Fiddlesticks,Lux,0.08135941186235046
Ezreal,Fiora,0.08134963277170983
