Id,Label,Attribute
1,Shaco,2
2,Gragas,2
3,Kindred,2
4,Pantheon,2
5,Hecarim,2
6,Rammus,2
7,Poppy,2
8,Karthus,2
9,Evelynn,2
10,Elise,2
11,Kayn,2
12,Rengar,2
13,Urgot,2
14,Vi,2
15,Nidalee,2
16,Camille,2
17,Nocturne,2
18,Graves,2
19,Sejuani,2
20,Warwick,2
21,Jax,2
22,Aatrox,2
23,Fiddlesticks,2
24,Udyr,2
25,Olaf,2
26,Zac,2
27,Shyvana,2
28,Twitch,2
29,Volibear,2
30,Taliyah,2
31,Amumu,2
32,Skarner,2
33,Ivern,2
