Id,Label,Attribute
1,Sivir,2
2,Caitlyn,2
3,Lucian,2
4,Ezreal,2
5,Jhin,2
6,Xayah,2
7,Vayne,2
8,Ashe,2
9,Varus,2
10,Jinx,2
11,Draven,2
12,Kalista,2
13,Tristana,2
14,Twitch,2
